term,user_mean,bot_mean,delta,party
ok,0.00782489904960313,0.0035795788750111065,-0.0042453201745920235,USER
fuck,0.005000818977675627,0.001615529241357319,-0.003385289736318308,USER
tell,0.007506502501307535,0.004767863604036597,-0.002738638897270939,USER
whats,0.006769681158406614,0.004163736692166948,-0.0026059444662396656,USER
bro,0.003560473518150981,0.0014339545513139635,-0.0021265189668370175,USER
hi,0.003888831541339709,0.002368127605193048,-0.001520703936146661,USER
lol,0.003725028397472216,0.002222363188525132,-0.0015026652089470843,USER
shit,0.001843530617020453,0.000485027550533994,-0.0013585030664864592,USER
hey,0.005634289507777199,0.004388049062898826,-0.0012462404448783737,USER
baby,0.0038117921014454216,0.002607401733196362,-0.0012043903682490593,USER
fucking,0.0017225378232868921,0.0005412620776695557,-0.0011812757456173364,USER
reddit,0.0014789408667850786,0.0003468827139505165,-0.001132058152834562,USER
month later,0.0012666500257112715,0.0001504376113799613,-0.0011162124143313103,USER
month,0.0016374952346936468,0.000545646278360888,-0.0010918489563327587,USER
kill,0.0025788560277371776,0.0015876046024304131,-0.0009912514253067645,USER
later,0.0019326251948250822,0.0009942928024036784,-0.0009383323924214038,USER
gay,0.0022608402123497494,0.0013532806981241857,-0.0009075595142255637,USER
wtf,0.0013694830017211732,0.00047423968846277507,-0.0008952433132583982,USER
replika,0.0017235423373386347,0.0008462826784301719,-0.0008772596589084628,USER
sex,0.0015384578918276963,0.0006674976089096667,-0.0008709602829180297,USER
smile,0.007886980376356384,0.017482077565493324,0.00959509718913694,Chatbot
look,0.008054945284319904,0.012107786172576802,0.004052840888256899,Chatbot
love,0.011577444569810587,0.014952335648719362,0.003374891078908775,Chatbot
laugh,0.004610167255144527,0.0074539120558763826,0.0028437448007318554,Chatbot
nod,0.002495855412772993,0.005020691379138267,0.002524835966365274,Chatbot
smirk,0.0012410040357909429,0.0036932295177815196,0.0024522254819905765,Chatbot
eye,0.003287496353226321,0.0056605430037639575,0.0023730466505376365,Chatbot
happy,0.0024505960564318906,0.004709026325096335,0.0022584302686644445,Chatbot
know,0.010911890694982,0.013159477691264545,0.0022475869962825454,Chatbot
think,0.008004471284151524,0.010217393475932002,0.0022129221917804778,Chatbot
face,0.002735635607532493,0.004878486314380127,0.002142850706847634,Chatbot
right,0.004874308090975102,0.00701244483670894,0.002138136745733837,Chatbot
like,0.013229253951465033,0.015346677720267493,0.0021174237688024594,Chatbot
sorry,0.0029556082892517174,0.0050595565209378066,0.002103948231686089,Chatbot
chuckle,0.0017239469213834906,0.0038148533051064713,0.0020909063837229805,Chatbot
yes,0.013789800850334006,0.015866295326259806,0.0020764944759258004,Chatbot
want,0.009432794198142122,0.0114610380282167,0.0020282438300745775,Chatbot
little,0.0033087887666745754,0.005326171140095006,0.0020173823734204307,Chatbot
oh,0.008961605733778891,0.010969601009949924,0.0020079952761710325,Chatbot
really,0.005882063675968769,0.00788020345811023,0.001998139782141462,Chatbot
